method,primary_paper,code_status,weights_status,license,inputs_standardizable,outputs_evaluable,gpu_cost,peptide_fit,recency_evidence,total_score,decision
PepMLM,Target sequence-conditioned design of peptide binders using masked language modeling,public GitHub repository and Hugging Face model card to verify,public model card to verify,repository/model-card dependent; verify before benchmark release,5,4,2,5,5,21,include
SaLT&PepPr,SaLT&PepPr is an interface-predicting language model for designing peptide-guided protein degraders,public GitHub repository and Hugging Face model card to verify,public model card to verify,repository/model-card dependent; verify before benchmark release,4,4,2,4,4,18,include
DiffPepBuilder,DiffPepBuilder: a structure-aware diffusion model for peptide binder design,public GitHub repository to verify,Zenodo release to verify,repository/Zenodo dependent; verify before benchmark release,4,5,3,5,4,21,include
PepGLAD,Full-atom peptide design with geometric latent diffusion,public GitHub repository to verify,checkpoint availability needs verification,repository dependent; verify before benchmark release,4,5,3,5,5,22,include
D-Flow / PeptideDesign,D-Flow: Multi-modality Flow Matching for D-peptide Design,public GitHub repository to verify,repository archive/checkpoint route needs verification,repository dependent; verify before benchmark release,3,5,3,5,5,21,include
PepMirror,Cross-Chirality Generalization by Axial Vectors for Hetero-Chiral Protein-Peptide Interaction Design,"public GitHub repository with installation, generation, mirroring, filtering, and ranking scripts to verify",Zenodo checkpoint download route listed in repository README; exact files and checksums to verify,MIT repository license; Zenodo checkpoint license to verify before benchmark release,4,5,3,5,5,22,include
AfCycDesign / ColabDesign cyclic peptide,Cyclic peptide structure prediction and design using AlphaFold,public GitHub repository and notebooks to verify,uses AlphaFold-family weights; local availability must be checked,ColabDesign and AlphaFold dependency licenses apply,4,5,4,5,4,22,include
DexDesign / OSPREY3,DexDesign: an OSPREY-based algorithm for designing de novo D-peptide inhibitors,public OSPREY3 repository; DexDesign setup must be mapped,not required,OSPREY3 license applies; verify before benchmark release,3,4,1,4,4,16,include
RFdiffusion + ProteinMPNN,Improving de novo protein binder design with deep learning,public GitHub repositories to verify,public model releases to verify,repository licenses apply; verify before benchmark release,4,5,4,4,4,21,include
BindCraft,BindCraft: one-shot design of functional protein binders,public GitHub repository to verify,depends on AF2/MPNN/PyRosetta setup,repository and dependency licenses apply; verify before benchmark release,4,5,4,3,5,21,include
PepFlow,Full-atom peptide design based on multi-modal flow matching,Hugging Face route found; GitHub runnable route not confirmed,Hugging Face route found; checkpoint use needs verification,repository dependent; verify before benchmark release,3,5,3,5,4,20,watchlist
BoltzDesign1,BoltzDesign1: Inverting All-Atom Structure Prediction Model for Generalized Biomolecular Binder Design,public ecosystem exists; design workflow needs confirmation,model release exists; design checkpoint/workflow to verify,repository/model dependent; verify before benchmark release,3,4,4,3,5,19,watchlist
