reviewer_role,severity,artifact,issue,recommendation,decision,status,evidence,next_action,gate
editor_in_chief,major,manuscript/outlines/benchmark_manuscript_outline.md,Manuscript outline does not yet fully reflect v0.5/v0.6 readiness artifacts,Add readiness results and ARS review as planned-methodology contributions,revise_outline,done,manuscript/outlines/benchmark_manuscript_outline.md; ops/audits/academic_research_suite_review_v0.6.md,keep v0.7 dry-run contract language in planned Results and limitations,claim_gate
methodology_reviewer,critical,benchmark/deployment/server_smoke_test_contract_v0.6.md,No formal gate separates source pinning from smoke-test readiness,Add metadata_ready source_pinned license_checked weights_manifested input_contract_ready dry_run_ready smoke_test_ready gates,create_contract,done,ops/plans/updated_plan_v0.6.md,validate all future server tasks against gate names,execution_gate
methodology_reviewer,major,benchmark/protocols/run_csv_schema.md,run.csv schema exists but no minimal metadata-only example anchors dry-run planning,Add example_run.csv with artificial placeholder rows and explicit not_real_benchmark status in a later implementation,created_example_run,done,benchmark/input_sets/example_run.csv; benchmark/protocols/run_csv_schema.md,keep example rows artificial and exclude from benchmark results,input_contract_ready
domain_reviewer,critical,benchmark/input_sets/target_set_v0.csv,Target set remains empty and should not be backfilled from watchlist entries,Keep target_set_v0 frozen interface empty until controls assay license and leakage fields are complete,accept_boundary,done,benchmark/input_sets/target_set_v0.csv,do not promote watchlist datasets to frozen targets,claim_gate
domain_reviewer,major,benchmark/input_sets/dataset_supplement_watchlist_v0.6.csv,PepBenchmark GPCR and TCRTransBench should be tracked without overclaiming benchmark readiness,Separate core calibration background property and immunological watchlist decisions,create_watchlist,done,web metadata refresh 2026-06-06,perform schema/license/leakage review before promotion,metadata_ready
engineering_reproducibility,critical,benchmark/method_sources/source_pin_audit_v0.5.csv,All include methods are pinned_no_install and cannot be described as code-problem-free,Keep status pinned_no_install until server logs prove install and minimal run,accept_boundary,done,source_pin_audit_v0.5 all 10 include methods,avoid runnable wording in reports and manuscript,source_pinned
engineering_reproducibility,major,benchmark/deployment/server_readiness_checklist_v0.5.md,Server readiness checklist lacks per-method dry-run contract details,Add server_smoke_test_contract_v0.6 and require method-specific contracts before clone/download,create_contract,done,benchmark/deployment/server_smoke_test_contract_v0.6.md; benchmark/deployment/method_contracts,maintain per-method contracts without clone download or install,dry_run_ready
devils_advocate,critical,ops/audits/link_and_data_availability_audit_v0.5.md,Readers may confuse link availability with dataset availability or reproducibility,Add explicit claim-gate language to manuscript and claim map,revise_claims,done,manuscript/support/benchmark_manuscript_claim_evidence_map.csv; benchmark/deployment/server_smoke_test_contract_v0.6.md,keep v0.7 claim map boundary rows active,claim_gate
data_statistics,major,benchmark/input_sets/dataset_supplement_watchlist_v0.6.csv,Newly discovered benchmarks may increase apparent coverage without solving T1/T2 frozen target gaps,Keep new sources as watchlist until schema controls license and leakage are verified,accept_boundary,done,ops/plans/updated_plan_v0.6.md,review watchlist rows one by one before updating candidate_benchmark_datasets.csv,metadata_ready
writing_claims,major,manuscript/support/benchmark_manuscript_claim_evidence_map.csv,v0.6 ARS review needs explicit supported and unsupported claim rows,Append ARS review and no-execution boundary claims,revise_claim_map,done,ops/audits/academic_research_suite_review_v0.6.md,keep all performance claims unsupported until smoke tests,claim_gate
data_statistics,critical,benchmark/input_sets/dataset_supplement_schema_review_v0.7.csv,License schema controls and leakage review remains unresolved for supplemental datasets,Keep candidates out of target_set_v0 until all four review fields are resolved,reviewed_v0.8_keep_open_for_target_promotion,open,benchmark/input_sets/dataset_supplement_schema_review_v0.8.csv; ops/audits/license_schema_input_contract_review_v0.8.md,complete approved server download or source-table extraction before any target promotion,license_checked
