method,pool_status,task_id,method_family,design_paradigm,peptide_type,input_requirement,output_type,code_url,source_status,weights_route,current_gate,next_action
PepMLM,included,T1_sequence_binder,sequence-conditioned peptide binder,sequence_driven,linear,target sequence or sequence-only CSV,peptide sequence,https://github.com/programmablebio/pepmlm,pinned_no_install_commit_3169c4920f8c383948e0a5d3a7c8f87e5e7d2436,Hugging Face PepMLM-650M route in download_manifest_v0.8,input_contract_ready,verify repository license and server batch wrapper before execution
SaLT&PepPr,included,T1_sequence_binder,interface-predicting language model for peptide-guided degrader design,sequence_driven,linear_or_degrader,target sequence and degrader/interface context,peptide sequence,https://github.com/programmablebio/saltnpeppr,pinned_no_install_commit_fba9d029f34638fe87277f69b5d6a5797273c5a5,Hugging Face/model card route to verify,source_pinned,confirm model route and T1 input mapping
DiffPepBuilder,included,T2_structure_peptide_binder,structure-aware diffusion peptide binder,structure_driven,linear_or_disulfide_cyclic,target PDB and pocket,peptide complex or peptide structure,https://github.com/YuzheWangPKU/DiffPepBuilder,pinned_no_install_commit_c19eb4f0cd2419d3bcc116184c0868243b6c4169,Zenodo/checkpoint route to verify,source_pinned,confirm checkpoint route and batch inference shape
PepGLAD,included,T2_structure_peptide_binder,geometric latent diffusion full-atom peptide design,structure_driven,linear_full_atom,target PDB and pocket,full-atom peptide structure,https://github.com/THUNLP-MT/PepGLAD,pinned_no_install_commit_bad015ca50c312a89482adb5220c3d907f13df5c,weights route to verify,source_pinned,confirm environment and output parser
D-Flow / PeptideDesign,included,T2_structure_peptide_binder,flow matching D-peptide/full-atom peptide design,structure_driven,d_peptide,target or mirrored target structure,D-peptide structure,https://github.com/smiles724/PeptideDesign,pinned_no_install_commit_3e3e9f501ee16db318e9bf52643513636a07699a,weights route to verify,source_pinned,confirm D-peptide representation and data route
PepMirror,included,T2_structure_peptide_binder,heterochiral protein-peptide interaction design,structure_driven,d_peptide,target PDB and chirality-aware context,heterochiral peptide complex or ranked candidates,https://github.com/YZY010418/PepMirror,pinned_no_install_commit_41cb31f3974d91e1a2ca88f0db060405833e4a9c,Zenodo checkpoint routes recorded in download_manifest_v0.8,source_pinned,resolve PyRosetta/Vina/OpenMM/license blockers
AfCycDesign / ColabDesign cyclic peptide,included,T2_structure_peptide_binder,AlphaFold/ColabDesign cyclic peptide design,structure_driven,cyclic,target PDB or cyclic peptide constraint,cyclic peptide sequence or structure,https://github.com/sokrypton/ColabDesign,pinned_no_install_commit_e31a56fe1d9b4de25c8697f3a28b75892941cc72,AlphaFold/ColabDesign dependency routes to verify,source_pinned,map notebook workflow to batch server contract
DexDesign / OSPREY3,included,T2_structure_peptide_binder,energy/search-based D-peptide inhibitor design,structure_driven,d_peptide,target PDB and design search specification,D-peptide inhibitor sequence/structure,https://github.com/donaldlab/OSPREY3,pinned_no_install_commit_3d53244851f0388db9e01b288bbd330145935aa7,OSPREY3/DexDesign setup to verify,source_pinned,confirm license and minimum runnable DexDesign route
RFdiffusion + ProteinMPNN,included,T3_miniprotein_binder_baseline,diffusion backbone plus sequence design,structure_driven,miniprotein,target PDB hotspot contig and fixed-chain handoff,binder backbone plus sequence,https://github.com/RosettaCommons/RFdiffusion; https://github.com/dauparas/ProteinMPNN,pinned_no_install_RFdiffusion_2d0c003df46b9db41d119321f15403dec3716cd9_ProteinMPNN_8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,RFdiffusion checkpoints and ProteinMPNN weights in download_manifest_v0.8,input_contract_ready,close checkpoint size/checksum and contig/hotspot contract
BindCraft,included,T3_miniprotein_binder_baseline,AF2 backpropagation plus MPNN/PyRosetta one-shot binder pipeline,structure_driven,miniprotein,target PDB,binder backbone and sequence,https://github.com/martinpacesa/BindCraft,pinned_no_install_commit_b971db42ba6e091afab63ccb30ae02215150a990,AF2/MPNN/PyRosetta dependency routes to verify,source_pinned,confirm license stack and server resource envelope
