review_panel,criterion,score,severity,artifact,issue,recommendation,decision,status,evidence,next_action,gate
NIH,Significance,2,minor,manuscript/outlines/benchmark_manuscript_outline_zh_v1.md,Significance is strong but expected user community and translational use cases are under-specified,Add a concise impact paragraph covering peptide design method developers benchmark users and medicinal chemistry readers,revise,open,manuscript/support/benchmark_template_audit.md,Draft impact paragraph in manuscript and README,claim_gate
NIH,Investigator_team,5,major,README.md,Team roles server owner license owner and result curator are not specified,Define responsibility matrix before server execution,major_revision,open,benchmark/deployment/server_readiness_checklist_v0.5.md,Create server responsibility checklist for v0.10,environment_gate
NIH,Innovation,3,minor,ops/plans/updated_plan_v0.9.md,Innovation is framed as protocol design but not contrasted with adjacent benchmark frameworks,Clarify innovation as task stratification readiness gating and generation-ranking separation,revise,open,manuscript/support/benchmark_template_audit.md,Add benchmark comparison paragraph,manuscript_gate
NIH,Approach,6,critical,benchmark/input_sets/target_set_v0.csv,Frozen target set is absent and target candidates remain unfrozen,Create target-control freeze checklist and candidate decision matrix before any target promotion,major_revision,open,benchmark/input_sets/target_candidate_matrix_v0.5.csv,Prepare v0.10 target governance package,target_gate
NIH,Approach,6,critical,benchmark/deployment,No server logs install logs smoke-test outputs metric CSVs or parser outputs exist,Prepare server-side preflight package before any execution claim,defer_execution,open,benchmark/deployment/method_readiness_review_v0.8.csv,Build v0.10 preflight package without executing commands,execution_gate
NIH,Statistics,5,major,benchmark/scoring/scoring_protocol_v0.md,Primary endpoints denominators missingness calibration and uncertainty are not fully specified,Write statistical analysis plan before running methods,major_revision,open,benchmark/protocols/scoring_outputs_schema.md,Draft statistical_analysis_plan_v0.10.md,scoring_gate
NIH,Environment,5,major,benchmark/deployment/method_contracts,PyRosetta checkpoints AF/RFdiffusion dependencies external roots and GPU resources remain unresolved,Close license checkpoint and server-root decisions before dry-run readiness,major_revision,open,ops/audits/license_schema_input_contract_review_v0.8.md,Update method preflight status table,license_gate
NSF,Intellectual_Merit,3,minor,manuscript/outlines/benchmark_manuscript_outline_en_v1.md,Conceptual framework is strong but framework transferability is not fully bounded,State that protocol principles transfer but performance and biological success do not,revise,open,manuscript/support/benchmark_manuscript_claim_evidence_map.csv,Add transferability boundary to discussion,manuscript_gate
NSF,Broader_Impacts,6,major,README.md,Broader impacts dissemination training and community reuse plan are underdeveloped,Add open-science tutorial FAIR sharing and user-onboarding plan,major_revision,open,index.md,Draft broader_impacts_and_reuse_plan_v1.3.md,dissemination_gate
Data_Sharing,Resource_Sharing,4,major,raw_sources,FAIR sharing and third-party data governance are not yet explicit enough,Write data sharing policy distinguishing generated artifacts external data source snapshots and forbidden large files,revise,open,AGENTS.md,Prepare benchmark sharing and governance section,sharing_gate
Risk,Risk_Mitigation,5,major,ops/plans/updated_plan_v0.9.md,Contingencies for blocked methods and datasets remain implicit,Define fallback methods datasets and task-level replacement rules,revise,open,benchmark/method_sources/method_landscape_watchlist_v0.9.csv,Prepare fallback matrix for v0.10,risk_gate
Budget,Budget_Feasibility,5,major,benchmark/environments/environment_feasibility_matrix.csv,GPU CPU storage network and license cost envelope is absent,Add resource budget and schedule before server execution,major_revision,open,benchmark/deployment/server_readiness_checklist_v0.5.md,Draft server resource envelope and schedule,budget_gate
