metric_or_check,metric_family,why_needed,source_support,applicable_tasks,applicable_outputs,not_applicable_reason,claim_boundary,next_action
binding_region_correctness,interface_geometry,"Short peptides can score well on irrelevant protein surfaces; target class determines meaningful binding region","short_peptide_docking_score_note","T2_structure_peptide_binder; T3_miniprotein_binder_baseline",peptide_complex_or_binder_complex,sequence_only_output_or_no_reference_region,"Region match is pose plausibility evidence, not affinity proof",define expected_binding_region field in future parser contract
terminal_orientation_status,design_feasibility,"Peptides have N-to-C direction; reversed orientation can invalidate substrate/motif/hotspot interpretation","short_peptide_docking_score_note","T2_structure_peptide_binder",peptide_structure_or_complex,no_oriented_motif_defined,"Orientation supports mechanism plausibility only when motif context is known",add terminal_orientation_status to future pose-quality schema
key_residue_match_status,interface_geometry,"Key peptide residues should align with target pockets or hotspots; interaction counts alone are insufficient","short_peptide_docking_score_note; wang_liang_peptide_review_draft","T2_structure_peptide_binder; ranking_rescoring",peptide_complex_or_reference_binder,no_known_key_residues,"Hydrogen-bond count alone must not be written as strong mechanism evidence",record key residues in target/control metadata before scoring
conformational_plausibility,design_feasibility,"Flexible peptides may produce strained or unanchored poses with attractive docking scores","short_peptide_docking_score_note; jmc2025_cyclic_peptide_review","T2_structure_peptide_binder; cyclic_peptide_tasks",peptide_structure_or_complex,sequence_only_output,"Pose plausibility is planned parser/manual-QC evidence, not completed result",define parser/manual review rubric for strain/clash/anchor clarity
score_comparability_group,ranking_rescoring,"Length, net charge, structure source and software parameters affect docking score comparability","short_peptide_docking_score_note","T1_sequence_binder; T2_structure_peptide_binder; ranking_rescoring",sequence_or_structure_candidates,no_common_scoring_protocol,"Cross-length or cross-charge ranking should be interpreted as uncalibrated",add comparability group to future ranking tables
cyclization_mode,design_feasibility,"Cyclic peptides differ by head-to-tail, sidechain, disulfide, thioether and mixed cyclization modes","jmc2025_cyclic_peptide_review; cas_insights_cyclic_peptide_trends; cyclic_ai_methods_review_note","T2_structure_peptide_binder",cyclic_peptide_sequence_or_structure,linear_peptide_output,"cyclic=yes is insufficient for topology-aware evaluation",extend metadata with cyclization_mode when target set is frozen
chirality_detail,design_feasibility,"D-peptide and heterochiral outputs require stereochemistry-aware parsing and scoring applicability flags","wang_liang_peptide_review_draft; cyclic_ai_methods_review_note","T2_structure_peptide_binder",d_peptide_or_heterochiral_structure,L_peptide_only_output,"D/L flag is not proof that scoring functions are valid for D-peptides",record chirality_detail and scoring_validity_status
non_natural_residue_representation,developability,"ncAA, N-methylation and backbone modifications require explicit representation such as HELM or CHUCKLES","jmc2025_cyclic_peptide_review; cas_insights_cyclic_peptide_trends; cyclic_ai_methods_review_note","T1_sequence_binder; T2_structure_peptide_binder",modified_peptide_sequence_or_structure,natural_residue_only_output,"Representation support is parser evidence, not clinical developability evidence",define representation_scheme field for future ncAA extensions
metadata_level_developability,developability,"Binding score does not capture charge, hydrophobicity, aggregation risk, permeability or synthesis complexity","jmc2025_cyclic_peptide_review; cas_insights_cyclic_peptide_trends; wang_liang_peptide_review_draft","all_tasks",sequence_or_structure_candidates,unparseable_output,"Metadata proxies must not be written as measured solubility or stability",keep experimental developability fields blank unless measured
flow_matching_paradigm_label,method_landscape,"Flow matching explains a generative model family but does not prove specific peptide method availability","flow_matching_life_science_note; wang_liang_peptide_review_draft","method_landscape_only",not_a_metric,not_a_scoring_metric,"Paradigm labels cannot substitute for source pin, license or smoke-test evidence",keep PPFlow/D-Flow/PepFlow names disambiguated
