method,task_id,tier,repo_url,license_status,weights_route,install_route,batch_inference,expected_inputs,expected_outputs,scoring_compatible,hardware_notes,blocking_risks,next_action
PepMLM,T1_sequence_binder,Tier 1,https://github.com/programmablebio/pepmlm,repository/model-card license to verify,Hugging Face model route recorded,Python/Hugging Face environment to verify,batch adapter likely needed,target sequence plus optional design constraints,linear peptide sequences,partial: sequence outputs need downstream structure prediction for structural metrics,lower GPU burden than structure generators,model card and exact batch command need verification,write smoke command skeleton and verify model download route
SaLT&PepPr,T1_sequence_binder,Tier 3,https://github.com/programmablebio/saltnpeppr,repository/model-card license to verify,Hugging Face model route recorded,Python/Hugging Face environment to verify,interface prediction and peptide prioritization route to map,target sequence and interaction/interface settings,peptide-guided degrader/interface candidates,partial: task fit to generic peptide binder benchmark needs confirmation,lower GPU burden than structure generators,task is degrader/interface-centric rather than generic binder,keep in include set but defer first smoke run until task fit is mapped
DiffPepBuilder,T2_structure_peptide_binder,Tier 2,https://github.com/YuzheWangPKU/DiffPepBuilder,repository/Zenodo license to verify,Zenodo route recorded,Python environment and checkpoint path to verify,likely runnable after checkpoint setup,target PDB and peptide binding context,peptide binder structures or sequences,yes: structural outputs should map to confidence/interface metrics,GPU required for diffusion inference,checkpoint and exact input schema need verification,confirm checkpoint files and minimal example input
PepGLAD,T2_structure_peptide_binder,Tier 2,https://github.com/THUNLP-MT/PepGLAD,repository license to verify,checkpoint availability needs verification,Python environment to verify,not confirmed,target or peptide structure context,full-atom peptide structures or sequences,yes if PDB/full-atom output is produced,GPU likely required,checkpoint route and target-conditioned task fit unclear,verify repository examples and promote only if checkpoint route is clear
D-Flow / PeptideDesign,T2_structure_peptide_binder,Tier 2,https://github.com/smiles724/PeptideDesign,repository license to verify,repository archive/checkpoint route needs verification,Python environment with D-peptide preprocessing to verify,likely runnable after archive setup,protein receptor/binding context and D-peptide config,D-peptide structures and sequences,yes: structural outputs should map to chirality-aware structural metrics,GPU likely required,archive provenance and stereochemistry handling need verification,map mirror conversion and output parser before smoke run
PepMirror,T2_structure_peptide_binder,Tier 1,https://github.com/YZY010418/PepMirror,MIT repository license; Zenodo checkpoint license to verify,Zenodo checkpoint route recorded,Python environment plus PyRosetta/Vina/OpenMM dependencies to verify,repository lists generation/filtering/ranking scripts,target PDB with receptor/ligand chains or pocket center,D-peptide binder complex structures and ranking metrics,yes: structural and ranking outputs should map to scoring schema,GPU plus CPU scoring dependencies expected,local install untested and dependency stack is heavy,prepare minimal target PDB and record exact checkpoint/command
AfCycDesign / ColabDesign cyclic peptide,T2_structure_peptide_binder,Tier 2,https://github.com/sokrypton/ColabDesign,ColabDesign and AlphaFold dependency licenses apply,AlphaFold-family weights required,ColabDesign/AF environment to verify,notebook/script route to convert into batch,target or cyclic peptide scaffold settings,cyclic peptide sequences and predicted structures,yes if AF/ColabDesign PDB outputs are exported,GPU required and AF weights needed,notebook-to-batch conversion and AF weights are blockers,define command-line or notebook execution contract before smoke run
DexDesign / OSPREY3,T2_structure_peptide_binder,Tier 3,https://github.com/donaldlab/OSPREY3,OSPREY3 license to verify,not required,OSPREY3/Java setup to map,DexDesign workflow not yet mapped,target structure and D-peptide design site,D-peptide inhibitor sequences/conformations,partial: outputs may require custom parser before structural scoring,CPU/search workload rather than neural GPU,workflow setup burden and task specificity are high,document OSPREY version and find DexDesign minimal case before smoke run
RFdiffusion + ProteinMPNN,T3_miniprotein_binder_baseline,Tier 1,https://github.com/RosettaCommons/RFdiffusion; https://github.com/dauparas/ProteinMPNN,repository licenses to verify,public model releases to verify,RFdiffusion and ProteinMPNN environments to verify,batch CLI routes are established in ecosystem,target PDB plus hotspot or length constraints,binder backbones and sequences,yes: outputs fit structure confidence/interface scoring,GPU required for RFdiffusion and downstream prediction,weights/version pinning and AF2 filter setup needed,define one minimal target/hotspot and output folder contract
BindCraft,T3_miniprotein_binder_baseline,Tier 2,https://github.com/martinpacesa/BindCraft,repository and dependency licenses to verify,depends on AF2/MPNN/PyRosetta setup,heavy integrated environment to verify,pipeline route likely batchable,target PDB and binder design settings,protein/miniprotein binder sequences and structures,yes: integrated structural outputs should map to scoring schema,GPU plus PyRosetta/AF2 dependency stack,heavy dependencies and less direct peptide fit,keep as integrated baseline after RFdiffusion route is mapped
