source_id,zotero_key,bibtex_key,doi,pmid,arxiv_id,title,year,venue,method_family,design_modality,input_requirement,output_type,availability_status,code_url,weights_url,pdf_status,screening_status,exclusion_reason
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,06JHA0FX,wu_integration_2023,10.1038/s42003-023-05133-1,,,Integration of pre-trained protein language models into geometric deep learning networks,2023,Communications Biology,protein/peptide language model,sequence-conditioned generation,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,0YVAW0S7,zou_sccure_2023,10.1016/j.crmeth.2023.100643,,,scCURE identifies cell types responding to immunotherapy and enables outcome prediction,2023,Cell Reports Methods,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:PD-wiki_多肽从头设计工具方法综述,176AK0KP,gou_adjuvant-free_2021,10.7150/thno.56406,,,Adjuvant-free peptide vaccine targeting Clec9a on dendritic cells can induce robust antitumor immune response through Syk/IL-21 axis,2021,Theranostics,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,1O0OJXZF,wang_deepbio_2023,10.1093/nar/gkad055,,,"DeepBIO: an automated and interpretable deep-learning platform for high-throughput biological sequence prediction, functional annotation and visualization analysis",2023,Nucleic Acids Research,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,1ZQDNS3D,wei_conpep_2023,10.1016/j.compbiomed.2023.107631,,,ConPep: Prediction of peptide contact maps with pre-trained biological language model and multi-view feature extracting strategy,2023,Computers in Biology and Medicine,protein/peptide language model,sequence-conditioned generation,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,24XGRZNJ,wicky_bim_hallucinating_2022,10.1126/science.add1964,36108048,,Hallucinating symmetric protein assemblies,2022,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,26YKGWQT,david_kim_parametrically_2025,10.1073/pnas.2425459122,39091726,,Parametrically guided design of beta barrels and transmembrane nanopores using deep learning,2025,Proceedings of the National Academy of Sciences of the United States of America,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,274ANUJF,enzymes_lauko_a_computational_2025,10.1126/science.adu2454,39946508,,Computational design of serine hydrolases,2025,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,27CLQUXU,mout_r_novo_2023,10.1073/pnas.2309457121,37398067,,De novo design of modular protein hydrogels with programmable intra- and extracellular viscoelasticity,2023,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,2BJVBDTQ,yang_msbooster_2023,10.1038/s41467-023-40129-9,,,MSBooster: improving peptide identification rates using deep learning-based features,2023,Nature Communications,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
