zotero_key	bibtex_key	title
06JHA0FX	wu_integration_2023	Integration of pre-trained protein language models into geometric deep learning networks
0YVAW0S7	zou_sccure_2023	scCURE identifies cell types responding to immunotherapy and enables outcome prediction
176AK0KP	gou_adjuvant-free_2021	Adjuvant-free peptide vaccine targeting Clec9a on dendritic cells can induce robust antitumor immune response through Syk/IL-21 axis
1O0OJXZF	wang_deepbio_2023	DeepBIO: an automated and interpretable deep-learning platform for high-throughput biological sequence prediction, functional annotation and visualization analysis
1ZQDNS3D	wei_conpep_2023	ConPep: Prediction of peptide contact maps with pre-trained biological language model and multi-view feature extracting strategy
24XGRZNJ	wicky_bim_hallucinating_2022	Hallucinating symmetric protein assemblies
26YKGWQT	david_kim_parametrically_2025	Parametrically guided design of beta barrels and transmembrane nanopores using deep learning
274ANUJF	enzymes_lauko_a_computational_2025	Computational design of serine hydrolases
27CLQUXU	mout_r_novo_2023	De novo design of modular protein hydrogels with programmable intra- and extracellular viscoelasticity
2BJVBDTQ	yang_msbooster_2023	MSBooster: improving peptide identification rates using deep learning-based features
2FEDHKRQ	de_haas_rj_rapid_2024	Rapid and automated design of two-component protein nanomaterials using ProteinMPNN.
2FF2UMIX	an_l_hallucination_2023	Hallucination of closed repeat proteins containing central pockets
2GGHXKS1	brixi_saltpeppr_2023	SaLT&PepPr is an interface-predicting language model for designing peptide-guided protein degraders
2H4W9G82	morehead_flowdock_2025	Flowdock: Geometric flow matching for generative protein-ligand docking and affinity prediction
2JS2R6P3	watson_pr_macrocyclic_2023	Macrocyclic Octapeptide Binding and Inferences on Protein Substrate Binding to Histone Deacetylase 6.
2M2KQ2F7	machine_learning_hiranuma_n_improved_2021	Improved protein structure refinement guided by deep learning based accuracy estimation
2PARGXHL	lehrich_precision_2025	Precision targeting of β-catenin induces tumor reprogramming and immunity in hepatocellular cancers
2QQIKN7B	wang_cellmemory_2025	CellMemory: hierarchical interpretation of out-of-distribution cells using bottlenecked transformer
2RTD3NCC	lou_novel_2008	A novel peptide from alpha5 helix of Asterina pectinifera cyclin B conjugated to HIV-Tat(49-57) with cytotoxic and apoptotic effects against human cancer cells.
2SBALQUW	householder_novo_2025	De novo design and structure of a peptide–centric TCR mimic binding module
2SRCTRGZ	demeo_active_2025	Active learning framework leveraging transcriptomics identifies modulators of disease phenotypes
2TBSKR5H	krishna_generalized_2024	Generalized biomolecular modeling and design with RoseTTAFold All-Atom
2UMYTBUZ	wang_identification_2021	Identification of HLA-A2-Restricted Mutant Epitopes from Neoantigens of Esophageal Squamous Cell Carcinoma.
2UQ84I3W	weng_peptide-based_2023	Peptide-based PET imaging agent of tumor TIGIT expression.
2UQ90CF4	wan_machine_2024	Machine learning for antimicrobial peptide identification and design
2UZ2BA4M	hybrid_materials_shunzhi_wang_bond-centric_2025	Bond-centric modular design of protein assemblies
2VF7EG3C	lee_j_pan-variant_2024	A pan-variant miniprotein inhibitor protects against SARS-CoV-2 variants.
2X8FK4JY	chen_machine_2026	Machine Learning for De Novo Molecular Generation: A Comprehensive Review
2XD699UG	qian_development_2024	Development of LAG-3/FGL1 blocking peptide and combination with radiotherapy for cancer immunotherapy.
2XN7X8LL	ennist_n_novo_2023	De novo design of energy transfer proteins housing excitonically coupled chlorophyll special pairs.
33XVZ7GI	broerman_aj_design_2025	Design of facilitated dissociation enables timing of cytokine signalling
34MKNNKD	tseng_structure-guided_2024	Structure-Guided Discovery of PD-1/PD-L1 Interaction Inhibitors: Peptide Design, Screening, and Optimization via Computation-Aided Phage Display Engineering
3856EA4D	sun_deep_2024	A deep attention model for wide-genome protein-peptide binding affinity prediction at a sequence level
3A2GASTV	li_usp22_2021	USP22 deficiency in melanoma mediates resistance to T cells through IFNγ-JAK1-STAT1 signal axis.
3AYIMQW5	bennett_improving_2023	Improving de novo protein binder design with deep learning
3EJY8RDL	deutsch_expanding_2026	Expanding the human proteome with microproteins and peptideins
3ESUX4GD	caldwell_sj_tight_2020	Tight and specific lanthanide binding in a de novo TIM barrel with a large internal cavity designed by symmetric domain fusion
3GT4ZZ5Z	jin_discovery_2024	Discovery of a novel small molecule as CD47/SIRPα and PD-1/PD-L1 dual inhibitor for cancer immunotherapy.
3JBXCJR2	stone_ea_isolating_2021	Isolating Conformers to Assess Dynamics of Peptidic Catalysts Using Computationally Designed Macrocyclic Peptides.
3LI6DPES	xie_recent_2023	Recent advances in targeting the “undruggable” proteins: from drug discovery to clinical trials
3LXHQ9A3	yarmarkovich_targeting_2023	Targeting of intracellular oncoproteins with peptide-centric CARs
3PE1C43J	li_cd47binder_2023	CD47Binder: Identify CD47 Binding Peptides by Combining Next-Generation Phage Display Data and Multiple Peptide Descriptors
3PLU8IIK	xiao_covalent_2025	A covalent peptide-based lysosome-targeting protein degradation platform for cancer immunotherapy.
3QIJZLC7	quijano-rubio_a_novo_2021	De novo design of modular and tunable protein biosensors
3QYFKB2T	saragovi_a_novo_2025	De novo design of metal-oxide templating proteins.
3SNZPF6B	mansoor_s_zero-shot_2023	Zero-shot mutation effect prediction on protein stability and function using RoseTTAFold
3UJPHG6I	wu_hla-a2-restricted_2018	HLA-A2-Restricted Epitopes Identified from MTA1 Could Elicit Antigen-Specific Cytotoxic T Lymphocyte Response.
